Player,Image,Rank,RushATT,RushYDS,RushTDS,ReceivingREC,ReceivingYDS,ReceivingTDS,MiscFL,MiscFPTS
JuJu Smith-Schuster PIT ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,111,0,0,0,24.3,302.6,1.8,0.3,40.7
Sammie Coates PIT ,https://s3.amazonaws.com/ryaong792/WR/S.Coates.jpg,112,0,0,0,17,321,1.2,0.2,38.9
Tajae Sharpe TEN ,https://s3.amazonaws.com/ryaong792/WR/T.Sharpe.jpg,113,0,0,0,23.2,286.5,1.8,0.3,38.7
Jaron Brown ARI ,https://s3.amazonaws.com/ryaong792/WR/J.Brown-ARI.jpg,114,6.2,38.7,0.2,19.4,251,1.5,0.4,38.6
Markus Wheaton CHI ,https://s3.amazonaws.com/ryaong792/WR/M.Wheaton.jpg,115,0,0,0,22.2,301.2,1.8,1.1,38.5
Jalin Marshall NYJ ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,116,0,0,0,22,256,2.9,2.3,38.4
Albert Wilson KC ,https://s3.amazonaws.com/ryaong792/WR/A.Wilson.jpg,117,2,10,0,25.5,258,2.1,0.4,38.3
Ricardo Louis CLE ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,118,0,0,0,27.5,320.5,1,0.3,37.5
Andre Roberts ATL ,https://s3.amazonaws.com/ryaong792/WR/A.Roberts.jpg,119,0,0,0,21.5,294.5,1.9,2,36.6
Dede Westbrook JAC ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,120,0,0,0,23,284.5,1.6,0.7,36.4
Philly Brown BUF ,https://s3.amazonaws.com/ryaong792/WR/P.Brown.jpg,121,1,6.5,0,22.3,272.1,1.6,0.8,36.1
Pharoh Cooper LAR ,https://s3.amazonaws.com/ryaong792/WR/P.Cooper.jpg,122,1,4,0,27,279,1.1,0.3,34.3
Jaelen Strong HOU ,https://s3.amazonaws.com/ryaong792/WR/J.Strong.jpg,123,0,0,0,24,248,1.6,0.3,33.5
Josh Reynolds LAR ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,124,0,0,0,19.5,257.8,1.4,0.6,33
Bennie Fowler DEN ,https://s3.amazonaws.com/ryaong792/WR/B.Fowler.jpg,125,0,0,0,19,238.5,1.6,0.4,32.4
Cordarrelle Patterson OAK ,https://s3.amazonaws.com/ryaong792/WR/C.Patterson.jpg,126,3.5,21.2,0.1,22,219.4,1.4,0.4,32.2
Chris Moore BAL ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,127,3.4,21.5,0.1,19,220,1.2,0.2,31.2
Harry Douglas TEN ,https://s3.amazonaws.com/ryaong792/WR/H.Douglas.jpg,128,0,0,0,19.5,233.5,1.4,0.5,30.5
Russell Shepard CAR ,https://s3.amazonaws.com/ryaong792/WR/R.Shepard.jpg,129,0,0,0,16.3,222.2,1.3,0.3,29.2
Chris Godwin TB ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,130,0,0,0,18,227,1,0,28.7
Amara Darboh SEA ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,131,0,0,0,18,222.5,1.2,0.4,28.7
Jordan Taylor DEN ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,132,0,0,0,16,200,1.9,1.5,28.4
Roger Lewis NYG ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,133,0,0,0,16.5,197.5,1.5,0.4,27.7
Dorial Green-Beckham PHI ,https://s3.amazonaws.com/ryaong792/WR/D.Green-Beckham.jpg,134,0,0,0,16,187.5,1.6,0.3,27.5
Dontrelle Inman LAC ,https://s3.amazonaws.com/ryaong792/WR/D.Inman.jpg,135,0,0,0,16,208.5,1.2,0.5,26.8
Josh Bellamy CHI ,https://s3.amazonaws.com/ryaong792/WR/J.Bellamy.jpg,136,0,0,0,17,218,0.9,0.4,26.4
Charone Peake NYJ ,https://s3.amazonaws.com/ryaong792/WR/C.Peake.jpg,137,0,0,0,19,211,0.9,0.3,25.9
Quinton Patton NYJ ,https://s3.amazonaws.com/ryaong792/WR/Q.Patton.jpg,138,0,0,0,20,238,0.5,0.3,25.9
Ryan Grant WAS ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,139,0,0,0,17.5,220.5,0.7,0.4,25.2
Aldrick Robinson SF ,https://s3.amazonaws.com/ryaong792/WR/A.Robinson-SF.jpg,140,0,0,0,16,199.5,1,0.4,24.9
Rod Streater SF ,https://s3.amazonaws.com/ryaong792/WR/R.Streater.jpg,141,0,0,0,16,179,1.2,0.4,24.3
Rashard Higgins CLE ,https://s3.amazonaws.com/ryaong792/WR/R.higgins.jpg,142,0,0,0,16.8,193.3,0.8,0.1,24.1
Cobi Hamilton PIT ,https://s3.amazonaws.com/ryaong792/WR/C.Hamilton.jpg,143,0,0,0,13,155,1.5,0.2,24.1
Charles Johnson CAR ,https://s3.amazonaws.com/ryaong792/WR/C.Johnson.jpg,144,0,0,0,14.5,195,0.9,0.3,24
Danny Amendola NE ,https://s3.amazonaws.com/ryaong792/WR/D.Amendola.jpg,145,0,0,0,17.5,181.5,1.6,2,23.8
Justin Hardy ATL ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,146,0,0,0,12.8,148.2,1.3,0.1,22.6
Jace Billingsley DET ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,147,0,0,0,13,159,1,0,21.9
Andre Ellington ARI ,https://s3.amazonaws.com/ryaong792/WR/A.Ellington.jpg,148,14,56,0,12.5,134.5,0.5,0.1,21.9
Chris Harper SF ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,149,0,0,0,18,182,0.9,1,21.6
TJ Jones DET ,https://s3.amazonaws.com/ryaong792/WR/T.Jones.jpg,150,0,0,0,12.5,168,0.6,0.2,20
Darrius Heyward-Bey PIT ,https://s3.amazonaws.com/ryaong792/WR/D.Heyward-Bey.jpg,151,1,5,0,10.5,129.5,1.2,0.2,20
Johnny Holton OAK ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,152,0,0,0,15.5,182,1,2.5,18.9
