Player,Image,Rank,RushATT,RushYDS,RushTDS,ReceivingREC,ReceivingYDS,ReceivingTDS,MiscFL,MiscFPTS
Kenneth Dixon BAL ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,49,111.1,468.2,2.6,28.1,178.1,0.9,0.8,84.2
Charles Sims TB ,https://s3.amazonaws.com/ryaong792/RB/C.Sims.jpg,50,76.1,297.4,1.8,39.4,346,2,2.6,81.9
Chris Thompson WAS ,https://s3.amazonaws.com/ryaong792/RB/C.Thompson.jpg,51,55.1,248.8,1.6,49.5,368.6,1.9,1.5,79.5
Shane Vereen NYG ,https://s3.amazonaws.com/ryaong792/RB/S.Vereen.jpg,52,67.5,285.6,1.6,45.6,360.1,2,3.5,78.8
Jeremy Hill CIN ,https://s3.amazonaws.com/ryaong792/RB/J.Hill.jpg,53,110.7,429.9,4.8,10.3,77.4,0.2,1.3,78.3
Dion Lewis NE ,https://s3.amazonaws.com/ryaong792/RB/D.Lewis.jpg,54,92.9,406.3,2.5,27.1,213.5,1.3,3.7,77
Ryan Mathews PHI ,https://s3.amazonaws.com/ryaong792/RB/R.Matthews.jpg,55,105,448,3.3,13,97.5,0.9,3.9,71.7
Elijah McGuire NYJ ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,56,86,380,1.9,25,198,0.7,1.5,70.4
Jalen Richard OAK ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,57,64.9,314.2,1.9,28.6,205,1.3,1.2,68.5
Jamaal Williams GB ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,58,95.9,405.3,3,10.1,72.3,0.3,1.5,64.8
Rex Burkhead NE ,https://s3.amazonaws.com/ryaong792/RB/R.Burkhead.jpg,59,75.4,310.9,2.7,17.6,146.7,1,1.6,64.6
Jonathan Williams BUF ,https://s3.amazonaws.com/ryaong792/RB/J.Williams.jpg,60,97.6,423.1,3.6,10.4,73.7,0.3,4.7,63.5
Robert Turbin IND ,https://s3.amazonaws.com/ryaong792/RB/R.Turbin.jpg,61,65,239.4,2.7,25.7,183.3,1.2,1,63.5
DeAndre Washington OAK ,https://s3.amazonaws.com/ryaong792/RB/D.Washington.jpg,62,80.3,358.5,2,19.1,137.4,0.9,2.1,62.6
